statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 18:04,"Авито,ру",avito·ru,Нет,в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:04,Не знаю,Ни где,Нет,Пермь,Мужчина,51 и более лет,chel01
18.12.19 18:06,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 18:07,Авто..ру..Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 18:12,"Авито. , ","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 18:12,"Авито. , ","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 18:13,Ютуб,"avito·ru, Не официальное ра",Нет,Златоуст,Мужчина,45-50 лет,chel01
18.12.19 18:14,Не знаю. ,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 18:15,Лада калина,auto·ru,Нет,Златоуст,Мужчина,45-50 лет,chel01
18.12.19 18:17,"Дром, авито",auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:19,Авито,avito·ru,Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 18:21,Авто ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 18:23,"Avito, carru",avito·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:24,Дром:;авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Тюменской обл.,Мужчина,51 и более лет,chel01
18.12.19 18:25,Автору,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:27,Авито,avito·ru,Нет,С. Кременкуль,Мужчина,51 и более лет,chel01
18.12.19 18:27,Автору,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:27,Avito drom auto.ru,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 18:28,Drom. Ru auto. Ru,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 18:29,Мерседес ,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
18.12.19 18:33,"Авито , Дром , авто ","drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:36,Дром. Ру Авито,"drom·ru, avito·ru","Да, но я его не вожу",в Челябинской области,Женщина,45-50 лет,chel01
18.12.19 18:41,Avito ,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 18:43,Автору,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Екатеренбург,Мужчина,45-50 лет,chel01
18.12.19 18:59,Навита,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 18:59,Авито,drom·ru,Нет,в Челябинской области,Мужчина,25-34 лет,chel01
18.12.19 19:00,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 19:06,Авто .ру,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,25-34 лет,chel01
18.12.19 19:08,Авито дром юла,"drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 19:09,Дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 19:10,Авито авто,avito·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,35-44 лет,chel01
